name,category,price,description
Ban,Vape,12.99,Fruity disposable vape with 600 puffs
CBD Gummies,CBD,19.99,Sweet CBD edibles for relaxation and stress relief
Juul Starter Kit,Vape,29.99,Compact vape device with charger and 2 pods
RAW Rolling Papers,Accessory,2.50,Classic unbleached rolling papers for clean smoke
Puffco Peak Pro,Vape,399.99,Smart e-rig with customizable temperature settings
Cohiba Red Dot,Cigar,25.00,Premium hand-rolled Dominican cigar with rich aroma
CBD Oil 1000mg,CBD,49.99,High potency CBD oil for pain relief and anxiety
Torch Delta-8 Pen,Vape,24.99,Delta-8 THC pen for smooth vaping experience
Humidor Box,Accessory,89.99,Cedar wood humidor box with hygrometer for cigars
Menthol Burst Vape Juice,Vape,14.99,60ml menthol e-liquid with intense cooling sensation
